,ranking,isIp,valid,urlLen,is@,isredirect,haveDash,domainLen,label,notlabel
503,10000000,0,0,78,0,0,0,22,1,0
504,4570,0,1,369,0,0,1,44,1,0
505,10000000,0,0,47,0,0,0,13,1,0
506,10000000,0,0,84,0,0,1,39,1,0
507,10000000,0,0,32,0,0,0,12,1,0
508,10000000,0,0,41,0,0,0,21,1,0
509,10000000,0,0,55,0,0,0,24,1,0
510,10000000,0,0,237,0,0,0,16,1,0
511,19390,0,0,22,0,0,0,12,0,1
512,10000000,0,1,95,0,0,0,9,1,0
513,6,0,1,49,0,0,0,16,0,1
514,10000000,0,1,78,0,0,0,10,1,0
515,801,0,1,50,0,0,0,13,0,1
516,10000000,0,1,85,0,0,0,12,1,0
517,10000000,0,0,88,0,0,0,20,1,0
518,10000000,0,1,58,0,0,0,28,1,0
519,10000000,0,0,167,0,0,0,10,1,0
520,10000000,0,1,29,0,0,0,9,1,0
521,1303,0,0,33,0,0,0,14,0,1
522,44061,0,1,33,0,0,0,13,1,0
523,10000000,0,1,32,0,0,0,21,0,1
524,329452,0,0,56,0,0,0,18,0,1
525,10000000,0,0,24,0,0,1,17,1,0
526,10000000,0,1,28,0,0,1,19,0,1
527,10000000,0,1,56,0,0,0,28,1,0
528,10000000,0,0,82,0,0,1,39,1,0
529,410442,0,1,41,0,0,0,17,0,1
530,10000000,0,0,138,0,0,1,100,1,0
531,6633,0,1,27,0,0,0,13,0,1
532,10000000,0,0,20,0,0,1,19,1,0
533,10000000,0,0,165,0,0,1,83,1,0
534,10000000,0,1,30,0,0,0,17,0,1
535,44061,0,1,33,0,0,0,13,1,0
536,10000000,0,1,60,0,0,0,12,1,0
537,28195,0,0,51,0,0,0,21,0,1
538,14969,0,1,27,0,0,0,14,0,1
539,10000000,0,0,76,0,0,0,27,1,0
540,10000000,0,0,76,0,0,0,27,1,0
541,10000000,0,0,50,0,0,0,19,1,0
542,1267,0,1,40,0,0,0,22,0,1
543,10000000,0,0,164,0,0,0,18,1,0
544,178270,0,1,43,0,0,1,17,0,1
545,10000000,0,1,41,0,0,0,15,1,0
546,10000000,0,0,106,0,0,0,33,1,0
547,10000000,0,0,183,0,0,1,182,1,0
548,14969,0,1,26,0,0,0,14,0,1
549,91578,0,1,43,0,0,0,11,0,1
550,10000000,0,0,218,0,0,1,107,1,0
551,10000000,0,0,85,0,0,0,15,1,0
552,10000000,0,0,240,0,0,0,15,1,0
553,10000000,0,0,23,0,0,0,13,0,1
554,1471,0,0,28,0,0,0,16,0,1
555,10000000,0,0,31,0,0,0,12,1,0
556,44061,0,1,33,0,0,0,13,1,0
557,10000000,0,1,206,0,0,0,172,1,0
558,183,0,1,41,0,0,0,16,1,0
559,10000000,0,0,42,0,0,0,14,1,0
560,25715,0,1,71,0,0,0,14,1,0
561,10000000,0,1,42,0,0,0,16,1,0
562,14969,0,1,26,0,0,0,14,0,1
563,10000000,0,1,72,1,0,0,19,1,0
564,10000000,0,0,21,0,0,0,11,0,1
565,10000000,0,1,59,0,0,0,18,1,0
566,10000000,0,1,68,0,0,0,15,1,0
567,75,0,1,59,0,0,0,11,0,1
568,10000000,0,1,21,0,0,0,13,1,0
569,10000000,0,1,24,0,0,0,16,0,1
570,10000000,0,0,32,0,0,0,17,1,0
571,10000000,0,1,29,0,0,0,19,1,0
572,1,0,1,79,0,0,0,15,1,0
573,10000000,0,0,46,0,0,0,16,1,0
574,10000000,0,0,122,0,0,0,24,0,1
575,10000000,0,1,40,0,0,0,13,0,1
576,1267,0,1,46,0,0,0,18,0,1
577,10000000,0,0,123,0,0,1,35,1,0
578,10000000,0,0,81,0,0,0,20,1,0
579,10000000,0,1,33,0,0,0,17,0,1
580,1206,0,1,65,0,0,0,14,0,1
581,10000000,0,0,103,0,0,0,30,1,0
582,378009,0,1,46,0,0,0,32,0,1
583,6,0,1,51,0,0,0,16,0,1
584,10000000,0,1,68,0,0,0,23,1,0
